id,fresh,rotten,% Positive,year,rating,genre,director,theater_date,dvd_date,box_office,runtime,studio
1290,110,41,72.85,2000,R,Action and Adventure|Drama|Horror|Mystery and Suspense,,2005,2005,"20,433,940",92 minutes,Universal Pictures
1291,12,24,33.33,2000,PG-13,Comedy,Barnaby Thompson|Oliver Parker,2007,2008,,101 minutes,NeoClassics Films
1292,73,33,68.87,2000,R,Art House and International|Drama,Lisa Cholodenko,2003,2003,"3,596,939",103 minutes,Sony Pictures Classics
1297,18,16,52.94,1999,R,Drama,Susanna White,2018,2018,,102 minutes,
1298,16,58,21.62,2017,PG-13,Comedy|Science Fiction and Fantasy,Tom Brady,2002,2005,,101 minutes,
1300,55,26,67.9,2002,R,Drama,Tim Blake Nelson,2002,2003,,108 minutes,Lions Gate Films
1304,1,0,100.0,2009,NR,Action and Adventure|Art House and International|Drama,Kiyoshi Kurosawa,2000,2005,,104 minutes,
1305,18,63,22.22,2006,PG,Animation|Comedy|Kids and Family,Steve Oedekerk,2006,2006,"72,601,713",90 minutes,Paramount Pictures
1307,119,83,58.91,2004,PG-13,Drama,Sacha Gervasi,2012,2013,"6,002,708",98 minutes,Fox Searchlight Pictures
1308,1,5,16.67,2004,R,Action and Adventure|Art House and International|Drama|Mystery and Suspense,,1977,1999,,126 minutes,
1309,0,1,0.0,2004,NR,Drama|Mystery and Suspense,John Badham,2002,2004,,91 minutes,
1310,7,1,87.5,2004,NR,Action and Adventure|Classics|Western,Burt Kennedy,1967,1998,,96 minutes,
1313,8,15,34.78,2003,PG-13,Comedy,Amy Heckerling,1985,2002,,95 minutes,
1314,1,0,100.0,2003,NR,Action and Adventure|Art House and International|Classics|Drama,Stephen Shin,1994,1997,,178 minutes,
1315,103,9,91.96,2003,PG,Action and Adventure|Comedy|Kids and Family|Mystery and Suspense,Robert Rodriguez,2001,2001,,88 minutes,Dimension Films
1317,44,94,31.88,2003,PG-13,Comedy|Drama|Romance,Joe Roth,2001,2001,"93,008,426",103 minutes,Columbia Pictures
1319,0,1,0.0,2003,PG,Action and Adventure|Comedy,,1983,2002,,96 minutes,
1320,102,32,76.12,2003,R,Drama,Curtis Hanson,2002,2003,"116,638,030",111 minutes,Universal Pictures
1321,112,31,78.32,2003,PG-13,Drama,Tate Taylor,2014,2015,"22,838,662",138 minutes,Universal Pictures
1322,0,1,0.0,2003,R,Horror|Science Fiction and Fantasy,Jackie Kong,1983,2005,,82 minutes,
1325,69,146,32.09,2003,R,Action and Adventure|Horror|Science Fiction and Fantasy,Shane Black,2018,2018,,,
1326,9,1,90.0,2003,NR,Art House and International|Drama,,2001,2007,,89 minutes,
1327,16,104,13.33,2003,PG-13,Drama,,2004,2004,"5,696,752",110 minutes,Paramount Pictures
1329,24,18,57.14,2003,R,Drama|Mystery and Suspense,Curtis Hanson,1992,2001,,110 minutes,
1330,13,95,12.04,2003,R,Drama|Mystery and Suspense,Mike Figgis,2003,2004,,119 minutes,Buena Vista Pictures
1331,6,1,85.71,2003,PG,Art House and International|Drama,,,,,109 minutes,
1334,3,2,60.0,2003,PG-13,Comedy|Romance,Youssef Delara,2016,2017,"320,676",104 minutes,
1335,11,49,18.33,2003,R,Comedy,Steve Carr,2000,2004,,98 minutes,New Line Home Entertainment
1336,0,1,0.0,2003,R,Art House and International|Classics|Horror|Mystery and Suspense,Jimmy Sangster,1971,2001,,95 minutes,
